EIA_ID,plant,state,gauge_id,gauge_source,data_type,data_type_id,timestep,units,notes,update_flag
255,Lime Saddle,CA,11405200;60;3,USGS,outflow-aggregate,,D,cfs,upstream of pp; only WB Feather,1
294,Copco 1,CA,11516530;60;3,USGS,outflow-aggregate,,D,cfs,gauge below Iron Gate (reregulating) so some influence of storage,1
295,Copco 2,CA,11516530;60;3,USGS,outflow-aggregate,,D,cfs,gauge below Iron Gate (reregulating) so some influence of storage,1
323,Bishop Creek 2,CA,10271060;60;3,USGS,outflow-aggregate,,D,cfs,diversion to Bishop Creek 6; plants in series so a reasonable approximation,1
324,Bishop Creek 3,CA,10271060;60;3,USGS,outflow-aggregate,,D,cfs,diversion to Bishop Creek 6; plants in series so a reasonable approximation,1
325,Bishop Creek 4,CA,10271060;60;3,USGS,outflow-aggregate,,D,cfs,diversion to Bishop Creek 6; plants in series so a reasonable approximation,1
326,Bishop Creek 5,CA,10271060;60;3,USGS,outflow-aggregate,,D,cfs,diversion to Bishop Creek 6; plants in series so a reasonable approximation,1
346,Mill Creek 1,CA,11052500;60;3,USGS,outflow-aggregate,,D,cfs,Mill Creek 2 and 3 diversion as surrogate,1
361,Santa Ana 1,CA,11051501;60;3,USGS,outflow-aggregate,,D,cfs,downstream aggregate gauge,1
363,Santa Ana 3,CA,11051501;60;3,USGS,outflow-aggregate,,D,cfs,downstream aggregate gauge,1
386,Drop 3,CA,9527700;60;3,USGS,outflow-aggregate,,D,cfs,below Drop 2,1
387,Drop 4,CA,9527700;60;3,USGS,outflow-aggregate,,D,cfs,below Drop 2,1
472,Georgetown,CO,6715000;60;3,USGS,outflow-aggregate,,D,cfs,below Georgetown Lake,1
476,Shoshone,CO,9070500;60;3,USGS,outflow-aggregate,,D,cfs,upstream of diversion,1
520,Lower Molina,CO,9105000;60;3,USGS,outflow-aggregate,,D,cfs,downstream of pp; additional flow from plateau creek,1
521,Upper Molina,CO,9105000;60;3,USGS,outflow-aggregate,,D,cfs,downstream of pp; additional flow from plateau creek,1
827,Grace,ID,10079500;60;3,USGS,outflow-aggregate,,D,cfs,below Soda,1
3034,Prospect 3,OR,14332000;60;3,USGS,outflow-aggregate,,D,cfs,only South Fork Flow,1
3646,Cutler,UT,10126000;60;3,USGS,outflow-aggregate,,D,cfs,40km downstream,1
3656,Pioneer,UT,10140100;60;3,USGS,outflow-aggregate,,D,cfs,gauge upstream of pp,1
3850,Swift 1,WA,14220500;60;3,USGS,outflow-aggregate,,D,cfs,below Merwin,1
3852,Yale,WA,14220500;60;3,USGS,outflow-aggregate,,D,cfs,below Merwin,1
3914,Cushman 1,WA,12056500;60;3,USGS,outflow-aggregate,,D,cfs,upstream of pp and storage,1
3915,Cushman 2,WA,12056500;60;3,USGS,outflow-aggregate,,D,cfs,upstream of pp and storage,1
4213,Portland No. 1,OR,14140000;60;3,USGS,outflow-aggregate,,D,cfs,downstream of Portland No. 2,1
4214,Portland No. 2,OR,14140000;60;3,USGS,outflow-aggregate,,D,cfs,may miss water supply diversion,1
6206,Tacoma,CO,9362520;60;3,USGS,outflow-aggregate,,D,cfs,no gauge on diversion from Elektra Lake; includes Animas River flow,1
6265,Swift 2,WA,14220500;60;3,USGS,outflow-aggregate,,D,cfs,below Merwin,1
9842,Newhalem,WA,12178100;60;3,USGS,outflow-aggregate,,D,cfs,gauge may be below diversion,1
10323,Farmers ID No. 2,OR,14120000;60;3,USGS,outflow-aggregate,,D,cfs,no gauge; dependent on irrigation diversions,1
10324,Farmers ID No. 3,OR,14120000;60;3,USGS,outflow-aggregate,,D,cfs,no gauge; dependent on irrigation diversions,1
10735,Barber Dam,ID,17km downstream;60;3,USGS,outflow-aggregate,,D,cfs,NA,1
10737,North Fork Hydro,OR,maybe just turbine flow;60;3,USGS,outflow-aggregate,,D,cfs,NA,1
50179,Lake Siskiyou,CA,11342000;60;3,USGS,outflow-aggregate,,D,cfs,50km downstream,1
50827,Twin Falls Hydro,WA,12143600;60;3,USGS,outflow-aggregate,,D,cfs,NA,1
50917,Middle Fork Irrigation District,OR,14120000;60;3,USGS,outflow-aggregate,,D,cfs,no gauge; dependent on irrigation diversions,1
52187,Falls Creek,OR,14185000;60;3,USGS,outflow-aggregate,,D,cfs,NA,1
54249,Smith Creek,ID,12321500;60;3,USGS,outflow-aggregate,,D,cfs,adjacent creek,1
54387,Weeks Falls,WA,12143600;60;3,USGS,outflow-aggregate,,D,cfs,NA,1
54654,Kekawaka Power House,CA,11474780;60;3,USGS,outflow-aggregate,,D,cfs,gauge below diversion,1
54729,Taylor Draw Hydroelectric Facility,CO,9306500;60;3,USGS,outflow-aggregate,,D,cfs,gauge quite downstream,1
