eia_id,huc4
2179,1701
54249,1701
2203,1701
851,1701
2188,1701
2195,1701
3891,1701
2199,1701
833,1701
6433,1701
6459,1701
58392,1701
3892,1701
9095,1701
9096,1701
3869,1701
3867,1701
835,1701
50380,1701
3866,1701
6208,1102
7113,1702
56698,1702
56694,1702
917,1702
56695,1702
56696,1702
56697,1702
3921,1702
6424,1702
6200,1702
3887,1702
3888,1702
3883,1702
3886,1702
3868,1702
50091,1702
6406,1703
6407,1703
57496,1703
50423,1703
50421,1703
6507,1703
6508,1703
850,1704
6394,1704
6393,1704
6398,1704
809,1704
4204,1704
6359,1704
54386,1704
10807,1704
54812,1704
821,1704
7718,1704
810,1704
816,1704
825,1704
832,1704
823,1704
815,1704
7079,1704
822,1704
818,1704
844,1704
841,1704
843,1704
7012,1704
7190,1704
790,1704
10296,1704
10740,1704
10781,1704
10809,1704
54753,1704
10049,1704
50987,1704
50323,1704
10140,1704
50718,1704
10806,1704
54514,1704
10808,1704
50895,1704
54394,1704
54668,1704
50896,1704
54558,1704
54306,1704
50972,1704
56893,1704
814,1704
820,1704
61217,1704
61688,1704
6395,1705
6396,1705
6397,1705
813,1705
56498,1705
50361,1705
50362,1705
50360,1705
56997,1705
58384,1705
10014,1705
819,1705
812,1705
10735,1705
54524,1705
6700,1705
811,1705
3014,1705
3925,1706
3926,1706
6175,1706
3927,1706
3041,1706
3013,1706
50891,1706
840,1706
54674,1706
3082,1707
3084,1707
7511,1707
3895,1707
7431,1707
10323,1707
50917,1707
10324,1707
50382,1707
58455,1707
3050,1707
3048,1707
54721,1707
50980,1707
54251,1707
57437,1707
6484,1707
3075,1708
3847,1708
3918,1708
3917,1708
3852,1708
3850,1708
6265,1708
3929,1708
4213,1708
4214,1708
7427,1708
7426,1708
60868,1709
3074,1709
3076,1709
3077,1709
3078,1709
6552,1709
3080,1709
3081,1709
3083,1709
59357,1709
3047,1709
3045,1709
3049,1709
6505,1709
3053,1709
3067,1709
3068,1709
3071,1709
7508,1709
52155,1709
52187,1709
3017,1709
7127,1710
7259,1710
6174,1710
7391,1710
3037,1710
3036,1710
3026,1710
3040,1710
3021,1710
3020,1710
6421,1710
3029,1710
3034,1710
3033,1710
3035,1710
3032,1710
50938,1710
3024,1710
3914,1711
3915,1711
6202,1711
6432,1711
6431,1711
3913,1711
3916,1711
3861,1711
3855,1711
7588,1711
3860,1711
7867,1711
9842,1711
622,1711
54267,1711
50700,1711
50228,1711
50827,1711
50544,1711
54860,1711
7407,1711
54387,1711
54652,1711
3878,1711
57763,1711
3854,1711
6430,1711
58696,1711
60418,1711
60517,1711
7489,1801
54261,1801
274,1801
10128,1801
54654,1801
54308,1801
59428,1801
6403,1801
442,1802
977,1801
451,1801
3025,1801
3042,1801
58470,1801
297,1801
296,1801
